Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;IP2;IP3
hotstar.com;293300000;293300094.0;0.25;4.37;3204303;56.91;0.06;4.53;0.78;33.75;3.38;0.59;54.169.176.66;54.169.175.143;
hottuber.com;9700000;9714294.0;20.07;1.13;2203114;3.95;0.01;72.21;0.21;0.17;0.0;23.45;50.63.121.163;;
hulu.com;720000000;719995746.0;0.07;14.74;7428916;61.71;1.69;23.7;2.25;9.44;1.15;0.07;23.222.28.24;23.222.28.27;
huya.com;100900000;100889076.0;0.12;3.7;447947;41.59;0.12;38.8;1.53;17.96;0.0;0.0;113.107.236.195;14.17.109.66;221.228.79.225
ilcorsaronero.info;49100000;49097502.0;95.93;6.05;284950363;67.65;0.38;11.08;0.4;20.2;0.0;0.29;31.131.4.166;;
imdb.com;4200000000;4192844682.0;0.96;5.45;219369633;32.31;0.36;14.62;2.37;50.23;0.0;0.1;72.21.206.80;72.21.210.29;207.171.166.22
indiewire.com;63300000;63316704.0;1.11;1.74;1222898;19.18;0.47;6.15;25.29;48.82;0.0;0.09;192.0.66.2;;
infinitytv.it;8199999;8167866.0;97.15;3.98;31581625;45.83;3.98;14.85;2.05;24.52;6.49;2.28;91.211.156.19;;
italia-film.co;84600000;84628452.0;92.25;3.75;292761551;51.93;0.43;15.98;1.26;30.09;0.0;0.31;104.20.38.187;104.20.39.187;
italiansubs.net;24600000;24561234.0;93.95;3.47;80071219;69.84;0.89;12.31;2.03;14.88;0.0;0.04;163.172.33.147;;
itv.com;158000000;158006832.0;0.21;2.43;806308;33.44;0.5;15.64;18.23;32.14;0.01;0.03;52.48.32.52;;
ivi.ru;202800000;202834506.0;0.21;2.72;1158590;20.09;0.58;25.15;2.49;50.02;0.13;1.55;91.233.219.155;91.233.219.154;
ivid.it;11500000;11479236.0;91.61;5.05;53106446;10.8;0.92;75.0;3.57;8.41;0.03;1.28;212.239.12.200;;
juzaphoto.com;11000000;10986882.0;87.65;9.39;90425719;41.52;1.33;13.22;2.69;41.21;0.02;0.02;5.135.200.157;;
k4pp4.pw;19300000;19268508.0;92.16;1.73;30721092;4.07;0.13;91.76;0.65;2.44;0.0;0.95;104.28.8.47;104.28.9.47;
kanald.com.tr;236000000;235966302.0;0.01;5.74;0;18.32;0.2;24.67;6.61;49.9;0.0;0.31;91.93.50.67;213.243.48.67;
kat.cr;3400000000;3442222524.0;1.02;6.12;214877298;61.84;0.86;27.86;2.68;6.4;0.0;0.37;119.81.124.105;69.165.95.186;149.202.90.63
keepvid.com;150900000;150905874.0;1.94;3.35;9807372;53.42;0.49;13.73;8.26;23.92;0.0;0.18;159.8.220.42;;
kino-filmi.net;40900000;40905990.0;0.41;2.17;363940;12.41;0.11;6.6;0.56;79.86;0.0;0.46;104.28.26.12;104.28.27.12;
kino-teatr.ru;85600000;85632168.0;0.37;3.63;1150125;13.43;0.22;6.72;0.93;78.66;0.0;0.03;178.218.209.114;;
kinogo.co;1200000000;1210041288.0;0.34;3.06;12589269;30.74;0.58;23.05;3.46;42.07;0.0;0.09;193.169.252.134;;
kinokrad.net;242300000;242285334.0;0.45;3.13;3412588;20.47;0.46;18.8;1.87;58.32;0.0;0.08;5.45.79.1;;
kinoman.tv;131699999;131650110.0;0.18;4.37;1035559;52.96;0.81;35.16;2.59;8.25;0.0;0.22;104.31.69.61;104.31.68.61;
kinopoisk.ru;662300000;662303028.0;0.24;4.16;6612433;27.14;0.66;13.47;2.96;55.74;0.01;0.04;87.250.251.105;213.180.193.105;
kinox.to;205100000;205062702.0;0.82;3.5;5885299;67.84;0.16;16.34;1.14;14.06;0.0;0.45;104.28.21.67;104.28.20.67;
kisscartoon.me;204300000;204305436.0;0.54;3.93;4335769;45.11;0.51;26.42;3.31;24.57;0.0;0.08;104.25.242.29;104.25.243.29;
kshowonline.com;148300000;148250142.0;0.55;2.43;1981363;53.0;0.87;27.94;5.09;12.66;0.0;0.43;104.31.94.153;104.31.95.153;
ku6.com;152700000;152693670.0;0.03;2.12;97113;6.65;0.05;14.43;0.41;78.45;0.0;0.01;122.11.45.243;;
la7.it;17700000;17683710.0;81.12;2.57;36866715;36.7;0.56;14.5;11.95;36.27;0.0;0.03;213.215.236.14;;
listenonrepeat.com;92100000;92073960.0;0.01;30.98;0;88.55;0.01;0.34;0.49;10.61;0.0;0.01;52.8.85.110;;
livestream.com;107500000;107483934.0;2.34;2.33;5860239;37.43;1.2;25.85;9.81;25.29;0.04;0.37;23.235.33.207;23.235.37.207;104.156.81.207
livetv.sx;166000000;166040748.0;7.98;6.26;82945323;57.28;0.43;24.54;2.09;15.47;0.0;0.18;93.174.89.3;62.210.114.138;
lostfilm.tv;194700000;194729598.0;0.27;2.57;1351228;76.48;0.95;16.33;1.81;4.43;0.0;0.01;185.85.120.10;;
mangaeden.com;18500000;18467460.0;54.28;59.76;599042444;66.53;0.46;18.1;1.75;12.97;0.0;0.19;104.20.52.174;104.20.51.174;
mangafox.me;342000000;342018900.0;2.29;42.05;329345389;55.22;0.61;21.06;3.17;19.88;0.0;0.05;185.4.227.116;176.53.21.90;
mangareader.net;226400000;226377024.0;2.53;34.59;198108645;74.77;0.63;15.5;1.89;6.86;0.0;0.35;185.85.189.58;;
maplestage.com;105500000;105531486.0;0.43;3.37;1529256;43.91;1.12;37.19;4.53;13.21;0.0;0.05;104.20.67.125;104.20.73.125;
media-fire.org;140900000;140878212.0;1.29;1.52;2762339;13.26;0.28;43.34;1.28;1.67;0.0;40.17;104.20.0.146;104.20.1.146;
mediaset.it;268500000;268482492.0;90.99;3.64;889223678;50.34;0.6;10.34;5.61;33.03;0.0;0.07;91.211.156.128;;
mediasetpremium.it;18500000;18456654.0;97.55;4.34;78139382;52.66;2.32;11.84;0.38;31.05;0.09;1.65;91.211.156.128;;
meduza.io;91400000;91437288.0;0.47;2.24;962651;41.42;3.15;16.27;32.05;7.09;0.0;0.01;163.172.11.143;91.227.34.40;195.154.163.43
